booth_number,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,candidate_9_votes,candidate_10_votes
166,6722,6136,672,1717,3908,4747,6617,8306,840,2511
167,2596,8297,6633,1752,9409,1111,5278,5749,1681,7298
168,1958,9776,7132,3561,3264,7788,6001,7464,6472,7158
169,1805,356,938,4927,2471,5838,3820,3606,7060,2610
170,2625,1438,1163,9155,6051,6486,1636,6509,9901,702
171,9771,1320,2653,510,1398,1811,7140,5149,1909,6945
172,9360,9630,8604,5244,6954,7556,6436,1316,2580,1823
173,511,5114,2807,7934,4674,2350,5373,9972,6484,4242
174,5529,106,437,2882,108,6008,7549,7550,9781,6430
175,3226,6535,1897,1792,4616,3769,8118,2865,6269,4767
176,4333,1359,8240,3629,9480,9868,1503,8239,5744,5574
177,9545,9468,25,8898,3433,6819,6501,7063,6653,1243
178,3413,2404,7733,454,8296,2510,2119,9355,5018,2887
179,9852,3006,5996,5332,5968,317,8076,4111,2676,3951
180,3934,5470,5356,6708,8230,43,6785,8035,3633,1215
181,7811,2565,4515,7067,4183,129,1884,9115,1095,3866
182,2325,1386,5090,3000,7357,1673,2444,5851,9693,5294
183,926,6078,1691,7143,1439,6863,5322,4172,6785,5525
184,3447,986,7685,6430,776,3576,7545,1850,4215,919
185,4881,8828,989,8862,1523,7368,9388,4190,8374,617
186,4608,6978,7788,6274,9332,2999,416,1552,9679,1458
187,9292,6472,3053,2332,5039,9369,668,9945,8127,5910
188,9634,6271,9103,6130,1489,7309,4686,180,7383,9204
189,1552,2382,7908,6580,6453,9715,2823,3425,532,2552
190,130,2264,9608,8214,8185,799,2081,786,7441,5710
191,5235,8293,1623,4968,5748,632,1517,2137,8516,6545
192,2608,2334,3403,9516,7199,6679,3624,7455,5288,9486
193,6709,7485,1415,4614,7854,4154,5456,678,7640,864
194,9757,2028,1835,7978,2589,1715,8320,6281,5110,9808
195,4058,2478,71,7582,9257,1463,9940,1137,6578,2085
196,6481,8366,6390,8304,2445,8686,852,6108,446,4183
197,6992,5605,7096,4169,4334,3291,1649,2755,9024,9770
198,1969,2176,6691,9663,4612,6690,8936,8494,4402,9475
199,1367,5233,9312,8562,8562,4523,2356,1410,193,9901
200,4916,4662,3060,9674,2069,2037,8508,1777,6648,5218
201,5925,7180,1094,9857,8050,623,6663,2100,5465,9981
202,9620,4191,8845,7728,9122,8173,9727,343,6534,3264
203,1476,3060,8123,5403,6631,8795,6085,6521,1752,6229
204,3940,2196,9336,169,6953,208,5262,3066,8054,5925
205,7057,7654,6555,2833,7517,5818,6563,7540,932,8663
206,1016,1377,603,7334,9354,9439,3836,9689,4173,8895
207,7022,2740,206,6503,2233,1556,4318,4242,2313,2790
208,4767,763,9673,2192,6268,7977,9024,3110,343,7910
209,1815,5927,7970,2971,1886,5497,8558,6472,941,2344
210,1444,526,6824,2658,116,3091,2841,9929,1893,9071
211,7516,1083,1812,2535,4603,7808,8736,731,4211,2321
212,8725,7892,9052,4990,6252,7977,7270,5707,9685,625
213,7635,1291,711,4421,3841,6547,6826,3729,352,3309
214,6021,2789,5629,9980,1242,4539,4791,9567,5421,9889
215,1401,6560,9577,2038,506,2948,5565,5450,1635,7068
216,2545,6131,3500,824,7669,5835,4330,3674,5908,1519
217,7495,5786,1764,7875,5892,4867,9930,4136,925,968
218,6383,6052,9623,7027,4328,320,2709,4753,292,2794
219,5053,4562,305,5657,771,9682,4150,584,6016,1519
220,7497,686,4450,6537,289,2355,1188,5707,4550,9958
221,522,8684,4290,2900,4015,3108,5011,8421,7671,4513
222,284,3248,2792,3375,3609,8035,7081,9462,2831,4159
223,9854,8547,2605,9158,2906,8057,4172,686,4629,1024
224,1938,9471,8912,4744,8133,4574,716,5950,9068,8793
225,5918,2001,1277,6062,6208,5773,1289,6147,2328,9915
226,991,810,1541,7348,7685,6739,924,4199,7505,1638
227,6824,1456,3468,6609,7857,8927,7631,1495,521,6062
228,8170,4526,5432,2391,5026,3926,8278,9444,7369,6413
229,9269,2094,3830,8752,2742,3388,7092,165,2224,7456
230,582,1577,3087,1830,2905,4416,6743,5332,4925,9130
231,1907,7250,7717,7628,4355,7812,3683,5831,5741,8757
232,2317,4080,149,5577,3796,6137,5195,4263,3976,3578
233,3052,9867,880,770,5201,4581,4307,6837,860,2684
234,6402,2222,7411,1554,2383,7243,7094,7478,4535,4460
235,2216,7818,5268,6075,6673,4280,3687,9359,6437,652
236,61,5871,8820,2975,8764,5685,7384,9430,2393,1404
237,653,1329,5690,813,2518,4732,5228,1544,6488,1439
238,3016,9905,1454,2873,6509,2179,6596,1056,2525,1858
239,9820,777,3573,2147,5383,8819,3074,1969,2325,5880
240,5935,1197,5997,4186,202,5484,2210,4268,7015,7985
241,731,7273,6710,5564,2510,7114,6844,6198,1721,586
242,2017,796,261,8658,3438,4544,5254,5949,3516,1349
243,2101,8396,3844,4919,235,4649,9898,497,2286,6896
244,6137,8974,5939,2658,6501,7340,3970,2869,4548,2555
245,4531,1382,6339,962,1774,9026,7917,9305,3647,8182
246,5022,9997,4088,2625,4756,5738,653,986,6955,6384
247,3590,5036,2283,6785,9206,8783,4892,8828,1293,8567
248,9934,9134,8046,9272,3046,9316,4021,9244,9066,8849
249,1651,7938,5276,5770,1055,8395,480,2901,414,3254
250,4933,7908,9149,4865,9842,265,5751,8197,8913,8705
251,939,6436,2869,7180,1985,8385,3779,8039,3496,1843
252,2751,5637,1212,9537,4089,9634,7334,4108,9322,1627
253,3332,9261,3308,2857,9332,5353,7145,4467,8740,506
254,580,221,834,1139,518,6064,9785,2636,904,2899
255,3673,4714,2802,4133,8704,5284,8470,6575,5273,4340
256,6542,7960,5577,923,5658,7225,9060,6424,6931,8659
257,936,2291,2281,7125,6157,7728,8856,627,3866,3821
258,2723,3993,275,4255,1943,6589,3134,7690,2939,145
259,5581,4209,6318,4141,52,8280,2383,4107,5644,7926
260,3934,8443,7151,391,9522,9927,5908,4380,3640,9049
261,8482,5981,8309,7541,9757,6083,2412,3417,4214,7707
262,208,4201,8483,5562,3239,6320,4038,9705,3598,6764
263,6397,864,4697,1115,9210,1137,4775,4648,753,3883
264,1015,5205,1511,5991,5305,325,3719,4849,6657,8464
265,7965,4174,2099,8474,9998,7234,781,4145,5819,4519
266,7968,2802,1298,9282,6411,7791,5734,7443,361,966
267,7707,6823,5532,1736,8970,3530,6148,8849,2142,9470
268,4460,9194,765,5643,6327,2449,684,7925,5347,4955
269,3500,5592,7332,1449,6623,7213,1880,9600,6855,7381
270,6543,9488,6083,7719,9072,4953,1131,6482,9544,4640
271,3620,2803,5910,6325,9366,3923,7838,8906,2284,3535
272,7545,242,1477,8107,3785,2214,2304,1888,4034,532
273,8742,5556,9254,3029,5358,7379,4861,9917,5896,829
274,1103,3996,9488,6994,1455,5348,6899,4140,5045,1589
275,8695,196,9482,4388,3030,4393,1093,1023,1187,5905
276,7954,2773,1,811,6350,9222,2399,3913,9069,3364
277,6089,6906,5426,2683,3314,4826,2982,8172,8453,9566
278,7433,207,5982,7562,6145,8969,2586,5020,147,5380
279,8160,4473,285,7681,9173,797,4536,4467,1804,2620
280,284,7448,6062,5537,8955,2479,9954,2184,7679,687
281,1204,8153,6673,1566,1899,4365,2140,5613,51,9520
282,1043,9680,2461,2182,5206,447,8386,1289,4963,8726
283,2461,9542,5786,276,610,7921,7869,1634,1470,3685
284,2878,6560,9716,6932,3104,8120,8594,8022,4859,1168
285,517,4563,6925,1042,9416,3093,7461,2698,6749,265
286,4273,9221,8023,3650,2009,2383,8431,6840,3614,5905
287,874,3386,8205,2039,9217,4565,1852,1061,4489,9191
288,5648,3163,8217,3261,1559,4726,3034,679,9528,3785
289,6371,6673,2360,9971,8827,5055,4514,549,4365,1489
290,9416,5590,3155,8333,905,1542,9766,2096,7261,4198
291,7249,639,8394,8335,2216,3593,179,1007,5010,4734
292,7584,5744,6327,2755,5787,8986,7203,1912,4960,1164
293,9385,432,4951,3499,2787,894,1708,2828,8284,1554
294,8428,9042,4332,5363,9864,6466,8017,9522,5937,4236
295,2543,8999,5900,160,1593,1252,7846,9728,6211,6309
296,9176,3388,3472,445,8163,4639,6560,3638,2880,466
297,3857,8029,7331,9492,9782,5694,2861,7753,2058,2778
298,8623,960,1301,7331,6791,3857,1654,602,4495,2970
299,2029,6409,3432,6573,2044,3116,1972,4011,5521,9246
300,3012,3010,9986,9492,6736,3006,1593,4011,8835,5410
301,231,5167,3969,3598,4888,2921,1409,6024,4256,5005
302,7248,9910,7035,3042,3567,6897,3417,1908,2628,4483
303,7822,6649,7037,6310,8495,2919,7941,1918,1711,3246
304,9488,3300,6308,5240,3738,1090,534,7694,6059,8826
305,1481,8605,2240,3147,4870,8112,602,9498,1488,9076
306,6918,3954,2059,8567,3876,1001,1388,9121,5059,7502
307,7254,6218,5420,6317,9551,5653,9370,8743,5287,3301
308,1071,3843,5556,6286,3560,2273,8686,5543,9550,1337
309,6657,7598,1704,5712,9961,1841,5109,560,866,21
310,9642,3472,5003,6884,5029,9419,232,5045,7421,8860
311,9969,831,4228,3884,7625,224,9548,7218,9711,6539
312,9254,6035,8564,4610,830,7515,4571,3215,3855,7821
313,8493,9654,3936,3256,7323,3247,9779,90,889,6838
314,4012,3240,5738,1253,23,7276,5073,539,5938,917
315,636,5836,810,5807,5693,7527,1382,1953,3749,3756
316,5846,7835,835,4387,8976,7866,7432,551,9927,7578
317,2367,659,7300,3787,2617,281,9065,62,167,9227
318,9257,2349,307,8684,5709,4805,4035,2683,758,5056
319,4187,6362,9539,9117,8101,8067,6255,6385,6364,9828
320,6805,5627,7221,7713,6649,3773,6402,2455,1613,1513
321,6072,9189,4326,3582,9464,2037,2159,5873,8322,9055
322,4198,4384,8616,847,8116,2337,8398,131,804,5430
323,1698,6119,5976,8542,9602,5655,4967,4271,9260,3814
324,4431,3686,5401,1565,4097,387,8680,2058,1017,3184
325,1709,5776,9534,6314,9997,6228,3774,8252,6645,1015
326,9058,6962,9877,6210,6106,4358,2975,7959,6663,3126
327,6203,4205,5942,3158,7946,5455,8459,1575,3569,2812
328,8272,9198,3605,1890,7643,1551,1176,3311,1523,239
329,6308,5126,4940,5499,5578,4078,6519,6625,6504,8131
330,6696,3962,6126,8058,5452,8306,7635,7444,5640,7467
331,7826,4183,4852,7393,5208,1332,9516,7399,6756,5019
332,5468,2276,3876,4539,2404,5749,6631,8166,4731,7018
333,8004,1464,7165,1541,1931,6845,4444,8085,5634,1331
334,9209,1618,1020,9365,7059,6800,4494,4694,7406,130
335,3199,1835,5245,7253,6509,3182,6578,4257,1486,2650
336,1750,6719,2475,6176,2747,9622,9780,7664,7130,2329
337,7293,2463,1847,2765,1301,1837,9065,8411,6067,1527
338,27,4067,2558,6586,3756,257,2337,3021,4725,1420
339,2517,1768,2186,1717,3770,5110,7880,5612,2140,9480
340,4439,8617,3977,6512,3208,2874,803,6809,188,7013
341,4610,8986,5216,3353,800,5236,5542,8370,4689,2158
342,6601,3915,9226,9373,1042,5990,2709,1612,9418,2383
343,4776,7811,6890,6226,1372,6350,4649,7652,5897,9405
344,51,395,9626,5690,1239,8175,2165,3181,61,8908
345,7683,2022,7332,9978,4820,8434,8872,1959,8692,497
346,9425,9978,9325,9001,8183,6755,107,7210,6400,4137
347,5004,4147,8221,1999,9633,3390,5871,3038,8150,1280
348,7686,3355,8112,8643,6282,428,2346,9031,303,9058
349,324,9697,7290,1970,2961,6669,4212,27,8197,8378
350,4911,4714,821,2405,4875,2214,6510,6013,9583,9628
351,365,2560,5567,3634,535,4287,4838,2477,9659,1978
352,5132,2788,5152,4734,3557,4222,6639,9413,5626,5278
353,32,7707,8675,8759,8365,5807,9156,2511,1897,6364
354,8320,5143,9034,283,9263,5829,8618,5621,9211,6043
355,3948,2099,2487,961,4071,4129,9827,8665,5198,3484
356,6508,1797,3919,72,2751,740,4962,5553,756,6477
357,2809,67,971,8562,5183,262,5082,6862,8580,5999
358,2203,8333,1717,7877,2149,2574,9979,2106,3068,6340
359,3359,4536,1168,1077,3133,7645,658,1333,7125,9417
360,7370,8387,9900,82,3485,467,2216,8712,4049,5020
361,6249,6837,3070,1264,2961,9940,8920,1794,5833,8791
362,1301,2571,5752,3305,2620,432,1058,6185,5941,7378
363,9304,9290,8903,7430,1438,3072,1239,2554,1489,4384
364,6427,6783,5622,525,3859,8260,5326,5138,3304,1854
365,8416,5768,4960,7553,9221,5590,2456,9700,1090,1271
366,8611,1827,4612,87,7034,3500,5748,7281,376,9972
367,1346,4321,7304,4853,1830,9215,1155,9462,6970,1865
368,4072,808,8601,1024,1829,8137,5598,2641,826,7449
369,5304,6328,5399,3761,4247,7597,4269,2764,5661,1451
370,5659,2028,9063,6849,541,909,8625,3304,371,6401
371,6099,9865,6899,6134,3760,3462,1508,4220,1872,9019
372,6298,9701,3492,7131,1860,2587,337,1245,7592,425
373,2133,7696,7069,8514,4494,2379,55,667,7539,468
374,4031,6110,8755,1589,1584,5159,3314,244,7564,2440
375,78,6117,906,8719,9680,5988,4497,5812,2586,6129
376,2211,8623,6771,7255,7384,4559,3491,6063,8911,3981
377,7795,1986,2793,8642,9194,5169,8632,7633,8873,9505
378,6695,958,6925,3058,49,8533,7380,8396,2165,609
379,7409,2600,7568,194,8317,9411,6914,3772,7143,1521
380,5837,6655,6486,5753,2307,4945,7015,9641,6888,9580
381,5859,756,1994,9571,6115,732,7838,8663,6332,3301
382,9482,8237,2250,2750,4785,1794,7851,8691,7730,9718
383,5002,9907,8264,2124,6380,9391,1757,7519,8489,4583
384,7795,7672,3604,4276,1863,5470,1104,5188,5307,665
385,4036,8263,7301,5686,8503,2794,600,1979,3310,2195
386,4270,3820,3406,277,6530,7874,7872,2741,5103,9186
387,9409,3116,1997,3612,6631,2951,8274,2217,1594,4868
388,3054,3573,9015,6259,8182,4764,4769,3263,4242,7983
389,4176,8359,6020,6856,3392,1849,6216,1707,8517,3516
390,4167,6117,4818,205,7789,309,8079,4690,5345,2869
391,5762,9752,825,2530,1708,5694,321,4180,9166,2881
392,9721,2368,1000,7160,2647,9199,2120,6237,8335,9118
393,2976,4038,3647,5099,7211,1178,2721,2992,8023,8964
394,5773,7950,6036,5124,7038,773,5875,4562,8222,4685
395,4344,7706,9439,172,6382,3383,2897,5558,1193,1311
396,3620,8902,8917,8432,9345,9538,2969,4787,3618,4266
397,675,8674,969,4727,5692,5333,7451,3391,5197,2898
398,3392,160,4439,3340,8467,6976,748,8822,9494,2654
399,5183,5307,1518,5422,4375,9919,4286,9719,8680,7670
400,6255,2073,8876,3180,3500,2094,7451,6755,29,5878
401,8997,240,1681,5566,4241,7598,9128,5512,5807,5048
402,4802,5520,6663,2623,7849,3802,417,5571,7853,6249
403,6658,9875,7504,9443,6193,1042,3377,3338,4111,1761
404,4820,5781,4319,1364,7219,2674,2511,5149,3943,8488
405,1047,9821,283,5820,9097,4537,3333,364,6067,7134
406,3714,3605,3997,7540,5427,2059,7356,6934,6784,6381
407,4736,3626,7669,9588,438,9759,149,9857,4089,4825
408,3558,7011,4634,1281,817,6454,9987,3394,5479,4337
409,1216,8797,3860,3022,1711,1280,1066,5791,1797,7109
410,3548,998,1913,8990,3841,5381,716,6864,6143,8115
411,9433,4785,4502,8922,4589,2449,2321,8669,5089,2069
412,6446,5193,4595,7589,8050,9089,4567,6777,5575,4693
413,9168,7914,5513,7083,5614,5490,5856,4731,2283,6936
414,1702,6545,3536,9406,260,5237,7364,8799,9431,9708
415,7369,4065,7779,5635,381,5250,3079,806,5650,7538
416,1827,8493,6338,6306,2880,268,7264,6534,92,2261
417,5822,9245,8412,2152,3953,5589,3364,1733,5211,8177
418,9279,9827,8126,5736,1629,3028,6583,5435,7392,2413
419,2687,4537,9123,2216,9409,1180,7856,5023,8595,7108
420,3154,8333,3371,8335,2797,6899,4752,1836,7279,9432
421,7543,2513,4262,1165,9183,4648,9293,4150,2703,4561
422,4795,1148,8882,2472,5061,9565,5440,575,9698,1234
423,4597,1943,429,1112,9786,4887,9613,4230,3770,4399
424,8708,7726,4542,3905,1881,6626,6511,3069,5532,6955
425,2288,5757,327,5476,6761,47,4043,2383,7188,4884
426,8324,7838,2847,6806,5110,4871,8831,319,4297,1405
427,3559,2061,2756,6162,5282,8238,6330,848,4457,8441
428,9118,4501,4346,6894,4463,5027,2363,1549,6843,3678
429,5936,1425,4595,7806,6932,1214,8880,7655,3588,5802
430,4539,986,5153,5232,6408,5854,116,2554,688,6517
431,4068,2842,711,9058,9947,4490,8926,3813,2159,6284
432,3180,9579,7882,6148,8848,9094,8962,1545,4685,4713
433,4709,865,1285,4758,1425,1152,6652,6740,3746,8118
434,1906,1330,8865,9706,7516,7235,8623,3631,1963,9370
435,6807,6376,825,7335,1027,3562,5467,9967,6107,9413
436,7257,2580,2259,8973,8047,3861,6383,6568,4603,3638
437,6883,4782,4382,6004,4763,9329,2929,1827,1012,126
438,5523,519,2476,5312,1362,53,5691,2568,2025,4451
439,939,7419,4059,2691,1226,2279,2315,5348,3714,656
440,7380,3050,9706,8691,5072,8009,5014,4252,6840,7483
441,6411,4915,6751,678,6617,6929,4738,4202,169,2010
442,9758,4711,1783,4684,1510,8405,6990,8572,564,2480
443,9242,5512,508,9821,5161,9892,711,1957,3731,335
444,3511,5535,7780,349,9541,7112,4796,9580,5119,8305
445,5135,6468,6592,896,9219,7978,5792,2134,8850,6831
